sample_type,a0,a1,swap_test_loss,reconstruction_fidelity_ideal,reconstruction_score_ideal,trash_z_expectation_ideal
anomaly,0.8364720081036203,0.3119725392342445,0.002197265625,0.9915361150598903,0.008463884940109745,0.9882359347606804
anomaly,0.15825314502665688,0.7272291642544106,0.007568359375,0.9816902523263553,0.018309747673644683,0.9680414487067321
anomaly,0.5844276486167325,0.24670519335648175,0.00537109375,0.9873610388324434,0.012638961167556584,0.9753116540110646
anomaly,0.3632039210227153,0.7184849848826642,0.005859375,0.9863232017381074,0.013676798261892609,0.9731701349312716
anomaly,0.7191799249144253,0.17931883349798244,0.009033203125,0.9796154856597715,0.020384514340228477,0.961934160315447
anomaly,0.7460579740211455,0.2527014871141032,0.004638671875,0.9878929160705194,0.012107083929480567,0.9789175194513547
anomaly,0.2838404550787631,0.8001322926217563,0.0126953125,0.9748939627593046,0.025106037240695378,0.9513103561527709
anomaly,0.11829445768602365,0.7173258071954177,0.00732421875,0.9814426618973281,0.018557338102671905,0.9688585010175037
anomaly,0.10362398348089386,0.6853779710881582,0.00537109375,0.9841472674681712,0.01585273253182884,0.9748513978560428
anomaly,0.7894187110430992,0.23651119099062345,0.005126953125,0.986108962087448,0.013891037912551973,0.9763384836682927
anomaly,0.23565192312268757,0.7687866658386421,0.010009765625,0.9785386264527268,0.021461373547273177,0.9596120684888992
anomaly,0.6969627287118694,0.27845696414993837,0.00390625,0.9904428017821112,0.009557198217888807,0.9830281446129182
anomaly,0.2557423715970386,0.7481111047799831,0.00830078125,0.981609432982828,0.01839056701717201,0.9653567113792116
anomaly,0.27930737326464916,0.6346410659986228,0.00244140625,0.9931101947068072,0.00688980529319283,0.9880262773141066
anomaly,0.1604011098442738,0.6882494494285155,0.005126953125,0.985841287442626,0.014158712557373998,0.9763539602796085
anomaly,0.7553208571337422,0.22801365777822563,0.00537109375,0.9853865621461976,0.014613437853802425,0.9741398255815427
anomaly,0.7096088474927382,0.19322028340232256,0.00830078125,0.9813899248697927,0.018610075130207293,0.9652726310697439
anomaly,0.6345457875434615,0.2011060802154278,0.00830078125,0.9821708040103838,0.017829195989616187,0.9655753271369267
anomaly,0.3185570042510406,0.732011102888287,0.0068359375,0.9844439586741932,0.015556041325806791,0.9699470810339841
anomaly,0.2839644287234,0.7098957084343824,0.00537109375,0.9865074597399802,0.01349254026001978,0.974659961067875
anomaly,0.36532554156495367,0.6753273120983276,0.00390625,0.9907623651150793,0.009237634884920687,0.9820544014323952
anomaly,0.7271832703904271,0.1738872354669792,0.009765625,0.9789125309322089,0.02108746906779113,0.9606986403283039
anomaly,0.6984525420413829,0.23574157877495142,0.00537109375,0.986331289200246,0.013668710799753958,0.9748832470108569
anomaly,0.6581756444892515,0.24192005278873202,0.00537109375,0.9870059012052613,0.012994098794738673,0.9755463281973908
